Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
16900;+0.0000000000000000e+00;+4.9750431111686549e-08;+0.0000000000000000e+00;+2.8825417683160440e-08;+4.9750431111686549e-08;+1.0249234736855312e-16;+6.0337150098533392e-08
17000;+0.0000000000000000e+00;+4.9601756915048229e-08;+0.0000000000000000e+00;+2.8532669069153300e-08;+4.9601756915048229e-08;+9.9391657839501793e-17;+6.0888552242338005e-08
17100;+0.0000000000000000e+00;+4.9340978027583043e-08;+0.0000000000000000e+00;+2.8328294695061712e-08;+4.9340978027583043e-08;+1.0050448114925519e-16;+6.0351132542653654e-08
17200;+0.0000000000000000e+00;+4.9635304376672797e-08;+0.0000000000000000e+00;+2.8373563182077021e-08;+4.9635304376672797e-08;+1.0160808089220780e-16;+5.9850767143408369e-08
17300;+0.0000000000000000e+00;+4.8965720425560728e-08;+0.0000000000000000e+00;+2.8372721708389062e-08;+4.8965720425560728e-08;+9.9615388554404117e-17;+5.9963859046034862e-08
17400;+0.0000000000000000e+00;+4.8829576266499599e-08;+0.0000000000000000e+00;+2.7833835610260325e-08;+4.8829576266499599e-08;+1.0129156455442465e-16;+6.0958104750069369e-08
17500;+0.0000000000000000e+00;+4.8801045216009918e-08;+0.0000000000000000e+00;+2.7753012575474354e-08;+4.8801045216009918e-08;+1.0452274792644564e-16;+6.2643762486243312e-08
17600;+0.0000000000000000e+00;+4.8026249036100246e-08;+0.0000000000000000e+00;+2.7490999124307052e-08;+4.8026249036100246e-08;+1.0712871774806133e-16;+6.2777322212713555e-08
17700;+0.0000000000000000e+00;+4.7819312379216842e-08;+0.0000000000000000e+00;+2.7334770339513218e-08;+4.7819312379216842e-08;+8.1088083547850771e-17;+6.2683941674573828e-08
17800;+0.0000000000000000e+00;+4.7750576800595497e-08;+0.0000000000000000e+00;+2.7222938359330635e-08;+4.7750576800595497e-08;+8.1050325442908084e-17;+6.2671525402582813e-08
17900;+0.0000000000000000e+00;+4.7928811455092202e-08;+0.0000000000000000e+00;+2.7284695526927481e-08;+4.7928811455092202e-08;+8.2471291020422940e-17;+6.2345054558116803e-08
18000;+0.0000000000000000e+00;+4.7683452325278032e-08;+0.0000000000000000e+00;+2.7272423430160822e-08;+4.7683452325278032e-08;+7.9357624918868114e-17;+6.2904045752497807e-08
