Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
7550;+1.1827199459075928e+00;+7.4137598276138306e-01;+9.2876797914505005e-01;+8.3660799264907837e-01;+7.4137598276138306e-01;+1.1806720495223999e+00;+8.5708802938461304e-01
7600;+1.1806720495223999e+00;+7.4649602174758911e-01;+9.3081599473953247e-01;+8.4275197982788086e-01;+7.4547201395034790e-01;+1.1878399848937988e+00;+8.6118400096893311e-01
7650;+1.1816960573196411e+00;+7.4137598276138306e-01;+9.3491202592849731e-01;+8.4070402383804321e-01;+7.4035197496414185e-01;+1.1991039514541626e+00;+8.7859201431274414e-01
7700;+1.1960320472717285e+00;+7.5775998830795288e-01;+9.4720000028610229e-01;+8.5811197757720947e-01;+7.5673598051071167e-01;+1.2206079959869385e+00;+8.7654399871826172e-01
7750;+1.1939840316772461e+00;+7.5264000892639160e-01;+9.4617599248886108e-01;+8.4991997480392456e-01;+7.4854397773742676e-01;+1.2267520427703857e+00;+8.9087998867034912e-01
7800;+1.2144639492034912e+00;+7.7107197046279907e-01;+9.6665602922439575e-01;+8.6937600374221802e-01;+7.7004802227020264e-01;+1.2431360483169556e+00;+8.9395201206207275e-01
7850;+1.2298239469528198e+00;+7.6083201169967651e-01;+9.7382402420043945e-01;+8.6220800876617432e-01;+7.6083201169967651e-01;+1.2492799758911133e+00;+9.0419197082519531e-01
7900;+1.2328959703445435e+00;+7.8028798103332520e-01;+9.8099201917648315e-01;+8.8371199369430542e-01;+7.8028798103332520e-01;+1.2728320360183716e+00;+9.1750401258468628e-01
7950;+1.2431360483169556e+00;+7.7311998605728149e-01;+9.8918402194976807e-01;+8.7551999092102051e-01;+7.7209597826004028e-01;+1.2759040594100952e+00;+9.1955202817916870e-01
8000;+1.2349439859390259e+00;+7.7619200944900513e-01;+9.7484797239303589e-01;+8.7756800651550293e-01;+7.7414399385452271e-01;+1.3015040159225464e+00;+9.3081599473953247e-01
8050;+1.2595200538635254e+00;+7.9769599437713623e-01;+1.0024960041046143e+00;+8.9907199144363403e-01;+7.9667198657989502e-01;+1.3107199668884277e+00;+9.3388801813125610e-01
