Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
+2500;+2.7708798646926880e-01;+2.4492800235748291e-01;+2.7900800108909607e-01;+2.5699201226234436e-01;+2.4467200040817261e-01;+1.9023999571800232e-01;+1.5907199680805206e-01
+2600;+3.0425599217414856e-01;+2.5212800502777100e-01;+3.0169600248336792e-01;+2.6476800441741943e-01;+2.5174400210380554e-01;+2.0089599490165710e-01;+1.6518400609493256e-01
+2700;+3.2531198859214783e-01;+2.5974398851394653e-01;+3.2716798782348633e-01;+2.7244800329208374e-01;+2.5948798656463623e-01;+2.1184000372886658e-01;+1.7168000340461731e-01
+2800;+3.3875200152397156e-01;+2.6755198836326599e-01;+3.3836799860000610e-01;+2.8012800216674805e-01;+2.6716798543930054e-01;+2.2243200242519379e-01;+1.7692799866199493e-01
+2900;+3.6895999312400818e-01;+2.7449598908424377e-01;+3.7059199810028076e-01;+2.8940799832344055e-01;+2.7526399493217468e-01;+2.3375999927520752e-01;+1.8364800512790680e-01
+3000;+3.9673599600791931e-01;+2.8275200724601746e-01;+3.9561599493026733e-01;+2.9763200879096985e-01;+2.8240001201629639e-01;+2.4268800020217896e-01;+1.9033600389957428e-01
+3100;+4.1654399037361145e-01;+2.9151999950408936e-01;+4.1523200273513794e-01;+3.0559998750686646e-01;+2.9158401489257812e-01;+2.5222399830818176e-01;+1.9766399264335632e-01
+3200;+4.3103998899459839e-01;+3.0134400725364685e-01;+4.3184000253677368e-01;+3.1590399146080017e-01;+2.9939201474189758e-01;+2.6067200303077698e-01;+2.0323200523853302e-01
+3300;+4.5369601249694824e-01;+3.1100800633430481e-01;+4.5372799038887024e-01;+3.2758399844169617e-01;+3.1062400341033936e-01;+2.7155199646949768e-01;+2.1321600675582886e-01
+3400;+4.8057600855827332e-01;+3.2003200054168701e-01;+4.8009601235389709e-01;+3.3686399459838867e-01;+3.2047998905181885e-01;+2.8115200996398926e-01;+2.2121599316596985e-01
+3500;+4.9497601389884949e-01;+3.3132800459861755e-01;+4.9414399266242981e-01;+3.4723201394081116e-01;+3.2998400926589966e-01;+2.8921601176261902e-01;+2.3132799565792084e-01
+3600;+5.0783997774124146e-01;+3.4863999485969543e-01;+5.0748801231384277e-01;+3.6908799409866333e-01;+3.5014399886131287e-01;+2.9760000109672546e-01;+2.4035200476646423e-01
+3700;+5.2198398113250732e-01;+3.6620798707008362e-01;+5.2025598287582397e-01;+3.8441601395606995e-01;+3.6976000666618347e-01;+3.0681601166725159e-01;+2.5347200036048889e-01
+3800;+5.3424000740051270e-01;+3.8400000333786011e-01;+5.3209602832794189e-01;+3.9977601170539856e-01;+3.8550400733947754e-01;+3.1407999992370605e-01;+2.6326400041580200e-01
+3900;+5.4598402976989746e-01;+4.1168001294136047e-01;+5.4547202587127686e-01;+4.2067199945449829e-01;+4.0684801340103149e-01;+3.2396799325942993e-01;+2.7833598852157593e-01
+4000;+5.5542397499084473e-01;+4.3020799756050110e-01;+5.5459201335906982e-01;+4.3900799751281738e-01;+4.2928001284599304e-01;+3.3107200264930725e-01;+2.8873598575592041e-01
+4100;+5.7286399602890015e-01;+4.3696001172065735e-01;+5.7068800926208496e-01;+4.4803199172019958e-01;+4.3667200207710266e-01;+3.4019199013710022e-01;+3.0256000161170959e-01
+4200;+5.9043198823928833e-01;+4.5830398797988892e-01;+5.8972799777984619e-01;+4.6265599131584167e-01;+4.5529600977897644e-01;+3.4838399291038513e-01;+3.1312000751495361e-01
+4300;+6.0339200496673584e-01;+4.7641599178314209e-01;+6.0409599542617798e-01;+4.7887998819351196e-01;+4.7267198562622070e-01;+3.5648000240325928e-01;+3.2342401146888733e-01
+4400;+6.1667197942733765e-01;+5.2374398708343506e-01;+6.1395198106765747e-01;+5.2623999118804932e-01;+5.2374398708343506e-01;+3.6480000615119934e-01;+3.3292800188064575e-01
+4500;+6.3046401739120483e-01;+5.4265600442886353e-01;+6.2959998846054077e-01;+5.4339200258255005e-01;+5.4368001222610474e-01;+3.7273600697517395e-01;+3.4294399619102478e-01
+4600;+6.4143997430801392e-01;+5.6105601787567139e-01;+6.3875198364257812e-01;+5.5715197324752808e-01;+5.5785602331161499e-01;+3.8220798969268799e-01;+3.5267201066017151e-01
+4700;+6.5139198303222656e-01;+5.7744002342224121e-01;+6.5225601196289062e-01;+5.7052797079086304e-01;+5.7590401172637939e-01;+3.8998401165008545e-01;+3.6195200681686401e-01
+4800;+6.6115200519561768e-01;+5.9407997131347656e-01;+6.5903997421264648e-01;+5.8828800916671753e-01;+5.9366399049758911e-01;+3.9801600575447083e-01;+3.7158399820327759e-01
+4900;+6.7423999309539795e-01;+5.8726400136947632e-01;+6.7552000284194946e-01;+5.8873599767684937e-01;+5.8969599008560181e-01;+4.0646401047706604e-01;+3.7955200672149658e-01
+5000;+6.9644802808761597e-01;+6.0297602415084839e-01;+6.9657599925994873e-01;+6.0364800691604614e-01;+6.0031998157501221e-01;+4.1343998908996582e-01;+3.8899201154708862e-01
+5100;+7.1094399690628052e-01;+6.1785602569580078e-01;+7.0880001783370972e-01;+6.1644798517227173e-01;+6.1747199296951294e-01;+4.2124798893928528e-01;+3.9740800857543945e-01
