Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+9000;+3.3625599741935730e-01;+1.7459200322628021e-01;+3.3596798777580261e-01;+1.9212800264358521e-01;+1.7535999417304993e-01;+3.4118399024009705e-01;+1.8508799374103546e-01
+9100;+3.4367999434471130e-01;+1.7830400168895721e-01;+3.4406399726867676e-01;+1.9625599682331085e-01;+1.7817600071430206e-01;+3.4908801317214966e-01;+1.8713599443435669e-01
+9200;+3.5075199604034424e-01;+1.8124799430370331e-01;+3.5158398747444153e-01;+1.9964799284934998e-01;+1.8124799430370331e-01;+3.5641598701477051e-01;+1.9337600469589233e-01
+9300;+3.5718399286270142e-01;+1.8688000738620758e-01;+3.5798400640487671e-01;+2.0630399882793427e-01;+1.8704000115394592e-01;+3.6489599943161011e-01;+1.9558399915695190e-01
+9400;+3.6444801092147827e-01;+1.9142399728298187e-01;+3.6441600322723389e-01;+2.1123200654983521e-01;+1.9158400595188141e-01;+3.7270399928092957e-01;+1.9977599382400513e-01
+9500;+3.7571200728416443e-01;+1.9542400538921356e-01;+3.7174400687217712e-01;+2.1542400121688843e-01;+1.9494399428367615e-01;+3.7904000282287598e-01;+2.0153599977493286e-01
+9600;+3.8131201267242432e-01;+1.9871999323368073e-01;+3.8121598958969116e-01;+2.2032000124454498e-01;+1.9862399995326996e-01;+3.8659200072288513e-01;+2.0470400154590607e-01
+9700;+3.9081600308418274e-01;+2.0224000513553619e-01;+3.8975998759269714e-01;+2.2416000068187714e-01;+2.0220799744129181e-01;+3.9532798528671265e-01;+2.1152000129222870e-01
+9800;+3.9859199523925781e-01;+2.0713600516319275e-01;+3.9900800585746765e-01;+2.2873599827289581e-01;+2.0729599893093109e-01;+4.0198400616645813e-01;+2.1356800198554993e-01
+9900;+4.0553599596023560e-01;+2.1187199652194977e-01;+4.0627199411392212e-01;+2.3270399868488312e-01;+2.1184000372886658e-01;+4.1116800904273987e-01;+2.1820800006389618e-01
+10000;+4.1516798734664917e-01;+2.1686400473117828e-01;+4.1420799493789673e-01;+2.3785600066184998e-01;+2.1737599372863770e-01;+4.2032000422477722e-01;+2.1984000504016876e-01
+10100;+4.2275199294090271e-01;+2.2220799326896667e-01;+4.2239999771118164e-01;+2.4502399563789368e-01;+2.2319999337196350e-01;+4.2883199453353882e-01;+2.2150400280952454e-01
+10200;+4.3244799971580505e-01;+2.2944000363349915e-01;+4.3276798725128174e-01;+2.5676798820495605e-01;+2.3123200237751007e-01;+4.3667200207710266e-01;+2.2748799622058868e-01
+10300;+4.3865600228309631e-01;+2.2649599611759186e-01;+4.3907201290130615e-01;+2.4147200584411621e-01;+2.2569599747657776e-01;+4.4428798556327820e-01;+2.2864000499248505e-01
+10400;+4.4675201177597046e-01;+2.2982400655746460e-01;+4.4748800992965698e-01;+2.4614399671554565e-01;+2.2995199263095856e-01;+4.5532798767089844e-01;+2.3398399353027344e-01
+10500;+4.5715200901031494e-01;+2.3449599742889404e-01;+4.5606398582458496e-01;+2.5283199548721313e-01;+2.3468799889087677e-01;+4.6169599890708923e-01;+2.3894399404525757e-01
+10600;+4.6399998664855957e-01;+2.3884800076484680e-01;+4.6399998664855957e-01;+2.5635200738906860e-01;+2.3859199881553650e-01;+4.7052800655364990e-01;+2.4447999894618988e-01
