Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
161000000;0.0000000000000000e+00;1.9682730406251216e-06;3.7668583759507416e-15;4.4508122511833161e-08;8.9447801040256678e-15;1.4806673354935359e-06
163000000;0.0000000000000000e+00;1.4836038316400775e-06;2.4399949415971368e-15;3.4154830013540162e-08;4.4043147876288710e-15;9.2474339801088988e-07
165000000;0.0000000000000000e+00;1.3197488472396489e-05;5.9272557769373008e-14;8.2681138090592085e-07;3.0411526826570719e-14;9.4956578413487771e-06
167000000;0.0000000000000000e+00;1.6201965861628659e-06;2.0739343528191910e-15;3.4090462541780515e-08;3.4350451744772248e-15;9.4424534301776381e-07
169000000;0.0000000000000000e+00;4.0290449329729662e-06;2.6462823104370057e-14;2.2981137074203685e-07;4.4899707277614704e-14;5.4281541801253365e-06
171000000;0.0000000000000000e+00;1.8550158400217013e-06;4.5262226043239493e-15;4.0897326220924599e-08;5.8905625432326569e-15;6.6357019895413114e-07
173000000;0.0000000000000000e+00;1.7571383094960717e-06;5.0408704942381135e-15;5.0958354187908283e-08;1.0257898388614959e-14;7.7087650475076480e-07
175000000;0.0000000000000000e+00;2.2859418052725141e-06;1.6728507492922768e-15;2.5201032936513358e-08;4.2725113945294179e-15;6.9940319711669751e-07
177000000;0.0000000000000000e+00;1.6906991458883116e-06;2.2841721603280729e-15;2.1032673490358539e-08;4.1955566964030811e-15;5.8952571030761951e-07
179000000;0.0000000000000000e+00;6.8322681837794585e-06;2.5336486232064458e-15;3.4666041909474698e-08;2.7233062387176090e-14;1.9471719797135574e-06
181000000;0.0000000000000000e+00;2.2629944237210177e-06;3.3747274034561605e-15;2.2143524032641619e-08;1.0648564746630960e-14;1.1494592832011110e-06
183000000;0.0000000000000000e+00;1.7193213120727703e-06;8.8397417696182552e-15;3.9355634887609492e-08;4.6131551158687263e-15;1.0957740972358372e-06
185000000;0.0000000000000000e+00;2.6265462708321630e-06;3.8768743301781432e-15;4.4730821757458662e-08;6.7036312690601205e-15;1.7549658046166135e-06
187000000;0.0000000000000000e+00;1.6194248141852485e-05;7.7889783794943387e-15;2.1231873667312923e-07;1.3128844930308026e-14;5.4021669287915515e-06
189000000;0.0000000000000000e+00;7.0542781324678854e-03;1.4666079372685590e-11;3.0614203714046298e-04;1.3987718268663477e-11;1.0079894888516579e-02
191000000;0.0000000000000000e+00;8.0048574706259229e-06;3.3433930636487822e-15;9.4532201930209627e-08;1.9276351738024795e-14;4.4298352457639248e-06
193000000;0.0000000000000000e+00;2.3904287977096657e-05;2.1601146144583433e-14;5.8336058040579976e-07;6.0302996932485033e-14;1.7838224102783711e-05
195000000;0.0000000000000000e+00;5.1288131698695350e-06;9.3329245815078652e-15;1.8000056170843823e-07;2.1058827259199206e-14;5.0722945793767599e-06
197000000;0.0000000000000000e+00;1.4783411971515731e-05;1.4930061814533261e-14;4.3344657253618600e-07;3.8524921020375028e-14;9.6566650866064654e-06
199000000;0.0000000000000000e+00;1.4008423812865458e-05;1.5443623356110114e-14;2.0565090292500829e-07;2.6774423014058809e-14;5.9145773664258529e-06
201000000;0.0000000000000000e+00;2.9744901560594495e-05;1.6218531425088417e-14;5.3872266369151311e-07;3.0867839237100314e-14;9.9041988494580809e-06
203000000;0.0000000000000000e+00;5.0633128091736075e-06;8.6396798078601872e-15;6.6397546096778270e-08;7.9509099191828415e-15;1.6929062299875616e-06
205000000;0.0000000000000000e+00;3.2855166934731632e-05;3.7172059059064757e-14;6.5225260318443158e-07;4.8845833167023740e-14;9.7838484035747184e-06
207000000;0.0000000000000000e+00;2.0183992298533849e-06;3.3256692696102731e-15;4.6390184908809190e-08;8.9361636158514426e-15;1.7400028454386999e-06
209000000;0.0000000000000000e+00;5.0579234764376318e-06;1.3205984684748583e-14;1.6723372560236490e-07;1.3499712661236139e-14;2.6553933718353623e-06
211000000;0.0000000000000000e+00;1.2023904197800417e-06;3.1298268161670479e-15;3.1551570374124347e-08;5.8238923380494054e-15;1.0694259685832426e-06
213000000;0.0000000000000000e+00;1.5299279904363467e-06;2.5305116222764142e-15;2.1616883588720469e-08;3.8720836002599381e-15;1.2078203153899562e-06
215000000;0.0000000000000000e+00;3.3093399210741913e-06;3.0096442162635206e-15;2.5937958773108802e-08;5.9180774021876491e-15;2.1428688776516308e-06
217000000;0.0000000000000000e+00;9.5911219411043534e-07;1.6358364874780474e-15;2.3739948404835479e-08;3.4656793092236580e-15;8.8413101804521568e-07
219000000;0.0000000000000000e+00;1.1628799930992171e-06;1.5762431215221051e-15;2.1137451919581466e-08;2.7637347875998729e-15;7.9987737736931383e-07
221000000;0.0000000000000000e+00;8.8369840113328469e-07;2.0088090847938905e-15;2.2312232401328614e-08;3.1694497283444392e-15;6.9185632356439600e-07
223000000;0.0000000000000000e+00;5.7316529311797702e-06;3.8749005247021543e-15;1.8573072919660927e-07;2.9004719608935691e-14;2.9048886798819604e-06
225000000;0.0000000000000000e+00;5.7864278088441465e-07;1.1623036128132225e-15;1.7958680223136761e-08;1.7009615927906896e-15;5.5325549367677242e-07
227000000;0.0000000000000000e+00;4.4041826574323868e-06;6.3399038557564447e-15;2.9312296267752160e-08;3.6623646768440812e-15;8.2584997674688773e-07
229000000;0.0000000000000000e+00;1.2665227775757344e-06;1.5709883025721749e-15;1.3635720124212932e-08;3.4032890137745562e-15;7.6829459963992779e-07
231000000;0.0000000000000000e+00;2.3902816587749826e-06;1.1542885797867545e-15;2.7605895593694203e-08;3.1721238771816063e-15;1.8005960861889131e-06
233000000;0.0000000000000000e+00;9.8535174755336313e-07;1.9076740881735201e-15;9.9841251038985738e-09;2.5223708117184000e-15;8.4235360035121481e-07
235000000;0.0000000000000000e+00;1.6962963554904196e-06;2.0867110024643235e-15;1.1970129657615221e-08;2.9991251171371362e-15;9.0174977719781017e-07
237000000;0.0000000000000000e+00;9.3488536278374083e-07;1.6681758056444029e-15;1.1907291493420980e-08;3.3196360960560228e-15;9.5294897821413799e-07
239000000;0.0000000000000000e+00;1.6912544310770749e-06;2.0836967090109867e-15;1.9174480942166716e-08;5.6360639937019716e-15;1.3544958640883722e-06
241000000;0.0000000000000000e+00;2.1802210101008300e-06;2.1907066099258079e-15;1.6333579156095815e-08;4.7994221656516336e-15;1.2091291476065192e-06
243000000;0.0000000000000000e+00;2.1177386978357333e-06;5.5628359762820270e-15;9.0764813677564196e-08;6.5392248793955011e-15;5.2678925918722278e-06
245000000;0.0000000000000000e+00;3.9969503134007081e-06;3.3627457518018842e-15;3.0288384404191916e-08;4.5329957902591511e-15;2.1773418038600336e-06
247000000;0.0000000000000000e+00;5.4972390609923866e-06;6.0525212916790137e-15;1.4147784159122966e-07;2.5501757023106497e-14;8.2468299930288671e-06
249000000;0.0000000000000000e+00;3.0744111745164286e-06;3.1123604137478670e-15;2.8616051291255762e-08;4.9936938008370684e-15;2.3035200725958051e-06
251000000;0.0000000000000000e+00;2.3944508625507747e-06;1.9958780968413536e-14;1.3523331897393822e-07;1.7338809175823848e-14;7.9402851233002702e-06
253000000;0.0000000000000000e+00;3.2891210804739211e-06;7.6894947014118364e-15;4.0494226949124787e-08;6.0383964661390026e-15;3.9675067010133681e-06
255000000;0.0000000000000000e+00;4.1847611548729831e-06;4.5702180294282690e-15;2.4064995435915712e-08;8.2207756730335483e-15;2.6413491406576753e-06
257000000;0.0000000000000000e+00;1.3644832568624613e-06;3.7694314026582829e-15;1.3813067172367338e-08;5.9164514783605844e-15;2.2008905986023357e-06
259000000;0.0000000000000000e+00;1.3239490729827724e-06;2.0976352672675412e-15;6.5063112575125846e-09;3.4922558001049158e-15;1.3364026193198088e-06
261000000;0.0000000000000000e+00;1.4481499253067806e-06;2.1165474217986479e-15;9.4644443630454536e-09;2.9075417643499904e-15;1.2461728177942734e-06
263000000;0.0000000000000000e+00;1.1337492601151876e-06;1.5289085923310330e-15;7.3881882877499417e-09;2.9522618978476498e-15;1.1950550852490635e-06
265000000;0.0000000000000000e+00;1.1088175338963464e-06;1.8244514649368663e-15;6.8863714151967708e-09;2.8904907786560765e-15;1.0323986107819917e-06
267000000;0.0000000000000000e+00;1.1477676901298704e-06;1.2968553294153205e-15;6.5640595564153176e-09;3.4419988078697566e-15;1.0625954220247616e-06
269000000;0.0000000000000000e+00;6.4649556483222382e-07;2.0099588527366652e-15;6.2687037947726557e-09;3.0268801056594459e-15;9.1269734302365229e-07
271000000;0.0000000000000000e+00;9.0924520404951340e-07;1.3082912329652948e-15;6.4443957148811762e-09;2.7169623400932101e-15;1.0769535705724564e-06
273000000;0.0000000000000000e+00;1.4099238395070339e-06;1.6721095082478975e-15;7.6493892933297342e-09;2.8172802745348953e-15;1.0989950744868994e-06
275000000;0.0000000000000000e+00;1.1302676978006433e-06;2.6771268217803975e-15;6.1580005091489201e-09;3.4555629319357494e-15;1.1178663056006149e-06
277000000;0.0000000000000000e+00;8.2646676218763831e-07;1.5339025127561866e-15;5.9168387670780719e-09;2.5914906036469964e-15;1.1602773691460491e-06
279000000;0.0000000000000000e+00;2.0220671669246078e-06;1.4000646664210438e-15;5.7106624249462144e-09;3.2000013785118380e-15;1.1986800685955368e-06
281000000;0.0000000000000000e+00;1.4479190242587691e-06;1.2773340227537865e-15;7.4932082450495894e-09;3.5781005584699272e-15;1.2964573114447341e-06
283000000;0.0000000000000000e+00;1.0918627966647830e-06;1.4561875265549217e-15;5.3078719706372828e-09;2.1692297651497151e-15;1.1487713441325305e-06
