Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
+11600;+0.0000000000000000e+00;+4.7443812356768171e-05;+0.0000000000000000e+00;+5.7399610995075359e-06;+4.7443812356768171e-05;+1.2294036826693823e-13;+4.8384860621404304e-05
+11700;+0.0000000000000000e+00;+5.0092072400123820e-05;+0.0000000000000000e+00;+5.7444746118313350e-06;+5.0092072400123820e-05;+1.3475536723048325e-13;+5.1009331778379014e-05
+11800;+0.0000000000000000e+00;+4.7225815583801215e-05;+0.0000000000000000e+00;+5.7759435106282737e-06;+4.7225815583801215e-05;+1.2067977572470288e-13;+4.8120987982274741e-05
+11900;+0.0000000000000000e+00;+4.8403426165911016e-05;+0.0000000000000000e+00;+5.8306410859596726e-06;+4.8403426165911016e-05;+1.2793190378013606e-13;+5.0730759801975172e-05
+12000;+0.0000000000000000e+00;+4.8668741092483857e-05;+0.0000000000000000e+00;+5.9029028548708153e-06;+4.8668741092483857e-05;+1.3317369839785775e-13;+4.9993000756194241e-05
+12100;+0.0000000000000000e+00;+4.8227458922514103e-05;+0.0000000000000000e+00;+6.0189607829651082e-06;+4.8227458922514103e-05;+1.3360052045439129e-13;+5.3361069449973888e-05
+12200;+0.0000000000000000e+00;+5.4343739005500476e-05;+0.0000000000000000e+00;+6.0877492589148624e-06;+5.4343739005500476e-05;+1.4009902896987179e-13;+5.4575653248441456e-05
+12300;+0.0000000000000000e+00;+5.3982386729095998e-05;+0.0000000000000000e+00;+6.0987506642150665e-06;+5.3982386729095998e-05;+1.4200078734439203e-13;+5.3352184101596273e-05
+12400;+0.0000000000000000e+00;+5.1746679377323572e-05;+0.0000000000000000e+00;+6.2012474825063293e-06;+5.1746679377323572e-05;+1.4203888018810326e-13;+5.3315744432208105e-05
+12500;+0.0000000000000000e+00;+5.0751313110962575e-05;+0.0000000000000000e+00;+6.2035115373682660e-06;+5.0751313110962575e-05;+1.3901528139536089e-13;+5.4244605609314261e-05
+12600;+0.0000000000000000e+00;+5.1397259016380158e-05;+0.0000000000000000e+00;+6.3338048456267780e-06;+5.1397259016380158e-05;+1.3883096970587135e-13;+5.3562683963103574e-05
+12700;+0.0000000000000000e+00;+5.3661362341496407e-05;+0.0000000000000000e+00;+6.3121434111782421e-06;+5.3661362341496407e-05;+1.4459880758426427e-13;+5.4986814558743791e-05
+12800;+0.0000000000000000e+00;+5.2389599050748944e-05;+0.0000000000000000e+00;+6.3464716432342079e-06;+5.2389599050748944e-05;+1.4788632102469515e-13;+5.5900777524890070e-05
+12900;+0.0000000000000000e+00;+5.7711670774335006e-05;+0.0000000000000000e+00;+6.6300481433796773e-06;+5.7711670774335006e-05;+1.5240947901748363e-13;+5.7167664547728319e-05
+13000;+0.0000000000000000e+00;+5.7447313907824045e-05;+0.0000000000000000e+00;+6.7511148206931250e-06;+5.7447313907824045e-05;+1.6165494621529304e-13;+5.9149925515017258e-05
+13100;+0.0000000000000000e+00;+5.7737659061989858e-05;+0.0000000000000000e+00;+6.8860039105144571e-06;+5.7737659061989858e-05;+1.5489765772407883e-13;+5.6662157226880367e-05
+13200;+0.0000000000000000e+00;+6.0978155686276267e-05;+0.0000000000000000e+00;+6.8688394394820276e-06;+6.0978155686276267e-05;+1.6123176112405348e-13;+5.9633220241741643e-05
+13300;+0.0000000000000000e+00;+6.1682946343700733e-05;+0.0000000000000000e+00;+6.9508611901971815e-06;+6.1682946343700733e-05;+1.5528035983183225e-13;+6.1036059959913814e-05
+13400;+0.0000000000000000e+00;+6.2594281649206986e-05;+0.0000000000000000e+00;+6.9681301150243085e-06;+6.2594281649206986e-05;+1.6458600629877046e-13;+5.9218941876796311e-05
+13500;+0.0000000000000000e+00;+6.5146411406198052e-05;+0.0000000000000000e+00;+7.0129815794773096e-06;+6.5146411406198052e-05;+1.6040695963234756e-13;+6.5309848020957744e-05
+13600;+0.0000000000000000e+00;+6.2469826517327711e-05;+0.0000000000000000e+00;+6.9260153626592414e-06;+6.2469826517327711e-05;+1.6868708341846863e-13;+6.2421799880764018e-05
+13700;+0.0000000000000000e+00;+6.6503431879776242e-05;+0.0000000000000000e+00;+7.1147471050961966e-06;+6.6503431879776242e-05;+1.7646219247373793e-13;+6.2093731190090249e-05
+13800;+0.0000000000000000e+00;+6.3952163738031638e-05;+0.0000000000000000e+00;+7.1747637304380048e-06;+6.3952163738031638e-05;+1.6552310891595163e-13;+6.7182557871891689e-05
+13900;+0.0000000000000000e+00;+6.6651076752291774e-05;+0.0000000000000000e+00;+7.2166068257785624e-06;+6.6651076752291774e-05;+1.7366632218601214e-13;+6.6754324747429717e-05
+14000;+0.0000000000000000e+00;+6.2741038426552347e-05;+0.0000000000000000e+00;+7.2243452117186704e-06;+6.2741038426552347e-05;+1.6869505376654488e-13;+6.4314077894288900e-05
+14100;+0.0000000000000000e+00;+6.4185236999226894e-05;+0.0000000000000000e+00;+7.3058850208341564e-06;+6.4185236999226894e-05;+1.6746994191236741e-13;+6.4740254535803127e-05
