Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
181000000;3.2513279914855957e+00;1.6546560525894165e+00;3.2502400875091553e+00;1.6647679805755615e+00;1.6625280380249023e+00;3.2606720924377441e+00;1.6803519725799561e+00;0.0000000000000000e+00;1.5035298420331471e-07;0.0000000000000000e+00;2.6446507753901182e-08;1.5035298420331471e-07;6.5862943216121157e-16;6.1953238224706765e-08
183000000;3.2906239032745361e+00;1.6763839721679688e+00;3.2920639514923096e+00;1.6844799518585205e+00;1.6803200244903564e+00;3.3046400547027588e+00;1.6957440376281738e+00;0.0000000000000000e+00;1.2432624574554616e-07;0.0000000000000000e+00;3.6891406610220137e-08;2.1176108488087215e-07;4.8858023696761207e-16;3.6891406610220137e-08
185000000;3.3198080062866211e+00;1.6948800086975098e+00;3.3200960159301758e+00;1.7038400173187256e+00;1.7010879516601562e+00;3.3375680446624756e+00;1.7196160554885864e+00;0.0000000000000000e+00;5.3771757283152246e-07;6.4440473292189012e-16;1.8774337840185088e-08;7.1069865116196827e-07;1.6110118323047254e-15;1.8774337840185088e-08
187000000;3.3623681068420410e+00;1.7127039432525635e+00;3.3606081008911133e+00;1.7224639654159546e+00;1.7208000421524048e+00;3.3642880916595459e+00;1.7325760126113892e+00;0.0000000000000000e+00;6.1552113614635362e-07;4.7813592558380012e-16;1.6560838480696094e-08;7.8665264976511289e-07;2.2313009860577343e-15;1.6560838480696094e-08
189000000;3.3960320949554443e+00;1.7338880300521851e+00;3.3997759819030762e+00;1.7418559789657593e+00;1.7396800518035889e+00;3.4091839790344238e+00;1.7493439912796021e+00;0.0000000000000000e+00;4.5098554091739133e-07;1.5769215276619353e-16;2.7683891563243115e-08;5.3564587078822097e-07;1.2615372221295482e-15;5.6976438307586523e-08
191000000;3.4293439388275146e+00;1.7536959648132324e+00;3.4325120449066162e+00;1.7649919986724854e+00;1.7578560113906860e+00;3.4413120746612549e+00;1.7717759609222412e+00;0.0000000000000000e+00;3.2234067398926478e-07;3.1208314771615825e-16;1.2756054279144465e-08;4.8988903812346935e-07;1.4043741647227123e-15;1.2756054279144465e-08
193000000;3.4663360118865967e+00;1.7724159955978394e+00;3.4671039581298828e+00;1.7844799757003784e+00;1.7820800542831421e+00;3.4802560806274414e+00;1.7881920337677002e+00;0.0000000000000000e+00;6.7903239575379481e-07;3.0885251184758050e-16;1.5776676917389481e-08;5.9612543089924419e-07;1.8531150710854830e-15;1.5776676917389481e-08
195000000;3.5014719963073730e+00;1.7915199995040894e+00;3.5023360252380371e+00;1.8017280101776123e+00;1.8017599582672119e+00;3.5136959552764893e+00;1.8091200590133667e+00;0.0000000000000000e+00;2.0459539661214760e-06;1.5284165173592383e-16;5.4519578548193457e-09;2.0459539661214760e-06;1.8340998208310863e-15;5.4519578548193457e-09
197000000;3.5405759811401367e+00;1.8121600151062012e+00;3.5415680408477783e+00;1.8208320140838623e+00;1.8177920579910278e+00;3.5495040416717529e+00;1.8230719566345215e+00;0.0000000000000000e+00;7.7221158690344215e-07;3.0258188644303040e-16;4.0025479743308647e-08;8.5343529356811725e-07;1.0590366025506064e-15;4.0025479743308647e-08
199000000;3.5707519054412842e+00;1.8294719457626343e+00;3.5724799633026123e+00;1.8420480489730835e+00;1.8359680175781250e+00;3.5812799930572510e+00;1.8438400030136108e+00;0.0000000000000000e+00;1.3569164284089722e-06;2.9954489094781992e-16;1.0027551289849127e-08;1.1156910202268274e-06;1.1981795637912797e-15;7.0380918104199194e-08
