Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
9400;8.0096000432968140e-01;4.0851199626922607e-01;8.0096000432968140e-01;4.0972799062728882e-01;8.0911999940872192e-01;4.2601600289344788e-01
9500;8.1792002916336060e-01;4.1679999232292175e-01;8.1798398494720459e-01;4.1788798570632935e-01;8.3033597469329834e-01;4.3939200043678284e-01
9600;8.3622401952743530e-01;4.2480000853538513e-01;8.3587199449539185e-01;4.2553600668907166e-01;8.4271997213363647e-01;4.4467198848724365e-01
9700;8.5353600978851318e-01;4.3360000848770142e-01;8.5321599245071411e-01;4.3395200371742249e-01;8.6124801635742188e-01;4.5369601249694824e-01
9800;8.7187200784683228e-01;4.4271999597549438e-01;8.7142401933670044e-01;4.4339200854301453e-01;8.7756800651550293e-01;4.6441599726676941e-01
9900;8.8985598087310791e-01;4.5171201229095459e-01;8.9036798477172852e-01;4.5299199223518372e-01;8.9372801780700684e-01;4.7353601455688477e-01
10000;9.0566402673721313e-01;4.6057599782943726e-01;9.0582400560379028e-01;4.6191999316215515e-01;9.1088002920150757e-01;4.8246398568153381e-01
10100;9.2505598068237305e-01;4.6937599778175354e-01;9.2524802684783936e-01;4.7046399116516113e-01;9.3404799699783325e-01;4.9011200666427612e-01
10200;9.4108802080154419e-01;4.7763198614120483e-01;9.4083201885223389e-01;4.7881600260734558e-01;9.5036798715591431e-01;4.9667200446128845e-01
10300;9.5833599567413330e-01;4.8563200235366821e-01;9.5920002460479736e-01;4.8646399378776550e-01;9.7014397382736206e-01;5.0614398717880249e-01
10400;9.7683197259902954e-01;4.9545601010322571e-01;9.7711998224258423e-01;4.9587199091911316e-01;9.8838400840759277e-01;5.1868802309036255e-01
10500;9.9574398994445801e-01;5.0624001026153564e-01;9.9606400728225708e-01;5.0735998153686523e-01;1.0072000026702881e+00;5.2819198369979858e-01
10600;1.0147520303726196e+00;5.1465600728988647e-01;1.0149439573287964e+00;5.1516801118850708e-01;1.0255359411239624e+00;5.3756797313690186e-01
10700;1.0344959497451782e+00;5.2432000637054443e-01;1.0341440439224243e+00;5.2515202760696411e-01;1.0431040525436401e+00;5.4377597570419312e-01
10800;1.0534080266952515e+00;5.3468799591064453e-01;1.0536320209503174e+00;5.3561598062515259e-01;1.0637760162353516e+00;5.6032001972198486e-01
10900;1.0732480287551880e+00;5.4518401622772217e-01;1.0735360383987427e+00;5.4614400863647461e-01;1.0831999778747559e+00;5.6889599561691284e-01
11000;1.0930559635162354e+00;5.5654400587081909e-01;1.0929280519485474e+00;5.5798399448394775e-01;1.1026879549026489e+00;5.7916802167892456e-01
11100;1.1121599674224854e+00;5.6534397602081299e-01;1.1126400232315063e+00;5.6591999530792236e-01;1.1234560012817383e+00;5.8835202455520630e-01
11200;1.1314560174942017e+00;5.7392001152038574e-01;1.1309119462966919e+00;5.7459199428558350e-01;1.1401280164718628e+00;5.9475201368331909e-01
11300;1.1512639522552490e+00;5.8521598577499390e-01;1.1517119407653809e+00;5.8556801080703735e-01;1.1633919477462769e+00;6.0921597480773926e-01
11400;1.1721600294113159e+00;5.9535998106002808e-01;1.1720960140228271e+00;5.9680002927780151e-01;1.1829440593719482e+00;6.1599999666213989e-01
11500;1.1925439834594727e+00;6.0636800527572632e-01;1.1929600238800049e+00;6.0720002651214600e-01;1.2065919637680054e+00;6.2790399789810181e-01
11600;1.2125760316848755e+00;6.1500799655914307e-01;1.2128319740295410e+00;6.1628800630569458e-01;1.2914240360260010e+00;6.4025598764419556e-01
