Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
2500;+2.5958400964736938e-01;+3.6361598968505859e-01;+3.0172801017761230e-01;+2.8240001201629639e-01;+3.6233600974082947e-01;+2.8380799293518066e-01;+2.7430400252342224e-01
2550;+2.6374399662017822e-01;+3.6931198835372925e-01;+3.0476799607276917e-01;+2.8508800268173218e-01;+3.6950400471687317e-01;+2.8595200181007385e-01;+2.7705600857734680e-01
2600;+2.6867198944091797e-01;+3.7632000446319580e-01;+3.1152001023292542e-01;+2.9001599550247192e-01;+3.7727999687194824e-01;+2.9372799396514893e-01;+2.8496000170707703e-01
2650;+2.6879999041557312e-01;+3.8124799728393555e-01;+3.1551998853683472e-01;+2.9423999786376953e-01;+3.8313600420951843e-01;+2.9740801453590393e-01;+2.8889599442481995e-01
2700;+2.7596798539161682e-01;+3.8879999518394470e-01;+3.2159999012947083e-01;+3.0239999294281006e-01;+3.8867199420928955e-01;+3.0783998966217041e-01;+2.9622399806976318e-01
2750;+2.7939200401306152e-01;+3.9331200718879700e-01;+3.2425600290298462e-01;+3.0460798740386963e-01;+3.9500799775123596e-01;+3.0976000428199768e-01;+2.9936000704765320e-01
2800;+2.8547200560569763e-01;+4.0079998970031738e-01;+3.3103999495506287e-01;+3.1004801392555237e-01;+4.0207999944686890e-01;+3.1897601485252380e-01;+3.0761599540710449e-01
2850;+2.9052799940109253e-01;+4.0809598565101624e-01;+3.3705601096153259e-01;+3.1555199623107910e-01;+4.0876799821853638e-01;+3.2931199669837952e-01;+3.1347200274467468e-01
2900;+2.9283198714256287e-01;+4.1347199678421021e-01;+3.3913600444793701e-01;+3.1935998797416687e-01;+4.1363200545310974e-01;+3.3196800947189331e-01;+3.1779199838638306e-01
2950;+2.9840001463890076e-01;+4.2144000530242920e-01;+3.4659200906753540e-01;+3.2531198859214783e-01;+4.2198398709297180e-01;+3.4415999054908752e-01;+3.2588800787925720e-01
3000;+3.0268800258636475e-01;+4.2636799812316895e-01;+3.5011199116706848e-01;+3.2912001013755798e-01;+4.2598399519920349e-01;+3.4496000409126282e-01;+3.2943999767303467e-01
3050;+3.0704000592231750e-01;+4.3327999114990234e-01;+3.5715198516845703e-01;+3.3433601260185242e-01;+4.3551999330520630e-01;+3.5392001271247864e-01;+3.3577600121498108e-01
