Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
+4400;+0.0000000000000000e+00;+1.0370595095454731e-07;+0.0000000000000000e+00;+3.9101850609704500e-08;+1.0370595095454731e-07;+7.8665280090951133e-16;+3.0382571624163141e-07
+4500;+0.0000000000000000e+00;+1.0336170072015366e-07;+0.0000000000000000e+00;+3.9734318823614874e-08;+1.0336170072015366e-07;+7.9805178023954491e-16;+3.0754055000428429e-07
+4600;+0.0000000000000000e+00;+1.0668329180944623e-07;+0.0000000000000000e+00;+3.9722483005482403e-08;+1.0668329180944623e-07;+8.0833745949300156e-16;+3.1152117286086461e-07
+4700;+0.0000000000000000e+00;+1.0565542631690257e-07;+0.0000000000000000e+00;+3.9359826452535942e-08;+1.0565542631690257e-07;+8.2242580892266302e-16;+3.1360709794695575e-07
+4800;+0.0000000000000000e+00;+1.0650440261755396e-07;+0.0000000000000000e+00;+3.9473385128304520e-08;+1.0650440261755396e-07;+8.3235152240751891e-16;+3.2055292362646145e-07
+4900;+0.0000000000000000e+00;+1.0661946394530592e-07;+0.0000000000000000e+00;+3.9858656494786980e-08;+1.0661946394530592e-07;+8.4235107910904134e-16;+3.2241320452495313e-07
+5000;+0.0000000000000000e+00;+1.0780273521760261e-07;+0.0000000000000000e+00;+3.9590044604130368e-08;+1.0780273521760261e-07;+8.5191074063512388e-16;+3.2371854415385941e-07
+5100;+0.0000000000000000e+00;+1.0935080190144348e-07;+0.0000000000000000e+00;+3.9849552725518116e-08;+1.0935080190144348e-07;+8.6175661089543142e-16;+3.2582466352143551e-07
+5200;+0.0000000000000000e+00;+1.0871493845286131e-07;+0.0000000000000000e+00;+3.9741058676886405e-08;+1.0871493845286131e-07;+8.7199928945500647e-16;+3.2911636579963967e-07
+5300;+0.0000000000000000e+00;+1.0935487357096306e-07;+0.0000000000000000e+00;+3.9562529743881884e-08;+1.0935487357096306e-07;+8.7976052442107917e-16;+3.3558329174566943e-07
+5400;+0.0000000000000000e+00;+1.0944016583466733e-07;+0.0000000000000000e+00;+3.9829103990816713e-08;+1.0944016583466733e-07;+6.4817542832030505e-16;+3.3430580059892243e-07
+5500;+0.0000000000000000e+00;+1.1087395060579487e-07;+0.0000000000000000e+00;+4.0219674168264207e-08;+1.1087395060579487e-07;+8.8697786972058148e-16;+3.3933163464860257e-07
+5600;+0.0000000000000000e+00;+1.1009680681491429e-07;+0.0000000000000000e+00;+3.9830401031091858e-08;+1.1009680681491429e-07;+8.9883230047296356e-16;+3.4544049159649355e-07
+5700;+0.0000000000000000e+00;+1.1151554695541284e-07;+0.0000000000000000e+00;+3.9703126903398909e-08;+1.1151554695541284e-07;+9.0035250297339727e-16;+3.4842280242889475e-07
+5800;+0.0000000000000000e+00;+1.0979206118634355e-07;+0.0000000000000000e+00;+3.9256873004856822e-08;+1.0979206118634355e-07;+9.0446876641518383e-16;+3.4880617645198145e-07
+5900;+0.0000000000000000e+00;+1.1172335558670731e-07;+0.0000000000000000e+00;+3.9920533609361899e-08;+1.1172335558670731e-07;+9.0506277001287051e-16;+3.4953958166429687e-07
+6000;+0.0000000000000000e+00;+1.1029070920174231e-07;+0.0000000000000000e+00;+4.0167029817812909e-08;+1.1029070920174231e-07;+6.6832128026912951e-16;+3.5240303357734882e-07
+6100;+0.0000000000000000e+00;+1.1159227317503205e-07;+0.0000000000000000e+00;+3.9925342892870504e-08;+1.1159227317503205e-07;+6.7166586907166413e-16;+3.5611892868998803e-07
+6200;+0.0000000000000000e+00;+1.1155227072330338e-07;+0.0000000000000000e+00;+3.9885580290026982e-08;+1.1155227072330338e-07;+9.2084134886405148e-16;+3.5828004540828847e-07
+6300;+0.0000000000000000e+00;+1.1363070550075620e-07;+0.0000000000000000e+00;+3.9726222485502231e-08;+1.1363070550075620e-07;+9.2836853445253547e-16;+3.6069863324519006e-07
+6400;+0.0000000000000000e+00;+1.1154342752159764e-07;+0.0000000000000000e+00;+3.9967885740059321e-08;+1.1154342752159764e-07;+9.3261177547010771e-16;+1.5022661749987578e-07
