Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
137000000;0.0000000000000000e+00;4.5931907006471027e-07;2.1754272927302704e-16;1.7435746780990632e-08;5.4928442746149237e-07;1.3052326739070952e-15;1.7435746780990632e-08
139000000;0.0000000000000000e+00;5.1099248927728198e-07;2.1441088508673166e-16;2.9593219161452863e-08;4.5362621617008306e-07;8.5763185372844453e-16;3.0845564409483696e-08
141000000;0.0000000000000000e+00;3.2368759249617449e-07;2.1136618990225194e-16;1.5701188632697543e-08;3.2368771936720572e-07;7.3979995482270333e-16;2.7745915066804719e-08
143000000;0.0000000000000000e+00;5.9774547277412872e-07;2.0841415498943292e-16;2.2828934627323616e-08;5.3735861448150852e-07;1.1462700116444610e-15;3.0216810914153688e-08
145000000;0.0000000000000000e+00;3.0126300556365541e-07;2.0553720721141017e-16;2.5614461614846332e-08;4.8503759228294438e-07;1.1304656122527333e-15;5.1977474439732590e-08
147000000;0.0000000000000000e+00;6.5518235050127306e-07;3.0411160487343982e-16;1.3058286920702068e-08;5.4186333418248460e-07;1.4191927060736547e-15;1.3058286920702068e-08
149000000;0.0000000000000000e+00;5.1272063146975459e-07;4.0003814039637482e-16;2.9675806305614568e-08;6.5090712298387047e-07;1.1001172550979932e-15;5.1660931149349157e-08
151000000;0.0000000000000000e+00;4.6631314626571670e-07;1.9736807686575789e-16;2.1266475941051350e-08;5.1929463070137457e-07;6.9079830577732974e-16;2.1266475941051350e-08
153000000;0.0000000000000000e+00;5.6798734913300742e-07;1.9478978946142274e-16;2.1270142340513561e-08;6.0669598319971511e-07;9.7394738455339277e-16;2.2428590070240257e-08
155000000;0.0000000000000000e+00;3.6650913338700766e-07;1.9227794616314963e-16;1.4896301060241340e-08;4.7198486122502619e-07;1.0575212642713809e-15;1.8283618002852070e-08
157000000;0.0000000000000000e+00;6.9673988101406156e-07;1.8982810167571891e-16;2.9646720359115444e-08;5.9737266686493344e-07;1.1389580879988802e-15;2.9646720359115444e-08
159000000;0.0000000000000000e+00;4.0383780336839778e-07;1.8744288670561225e-16;1.7961381764904828e-08;3.8413744461955965e-07;1.6869821047948935e-15;4.7757205209253969e-08
161000000;0.0000000000000000e+00;3.8593721349250379e-07;1.8511088856054667e-16;2.5258864622319664e-08;4.5445256417254022e-07;1.5734427195718502e-15;2.5258864622319664e-08
163000000;0.0000000000000000e+00;5.1922050924816690e-07;2.7425887060896098e-16;2.8407944885311045e-08;5.1922050924816690e-07;1.5541362221950448e-15;2.8407944885311045e-08
165000000;0.0000000000000000e+00;4.0775131658241577e-07;1.8062499462411705e-16;3.1113141541357415e-08;5.0472207478577853e-07;6.3218436285784402e-16;4.2791528661491610e-08
167000000;0.0000000000000000e+00;7.7597517496681750e-07;1.7846051593218027e-16;2.6129095971347777e-08;6.8904199714205619e-07;1.2492202908863307e-15;2.8319657109905779e-08
169000000;0.0000000000000000e+00;3.7795211377512362e-07;1.7634837468570371e-16;2.4529772210081226e-08;3.5198112636190363e-07;1.5871355352605529e-15;3.5401734763365769e-08
171000000;0.0000000000000000e+00;4.0211472281912662e-07;1.7428710813877977e-16;1.7738362048125748e-08;4.5910734426850917e-07;1.2200068144685042e-15;2.8310711671115505e-08
173000000;0.0000000000000000e+00;7.8273213244704686e-07;3.4454197836367003e-16;2.5311084230536879e-08;5.9775559779079186e-07;1.0336223017583031e-15;5.8161497856829449e-08
