Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
363000000;3.8881280422210693e+00;2.0377600193023682e+00;3.9024639129638672e+00;2.0367360115051270e+00;4.0632319450378418e+00;2.2384641170501709e+00;0.0000000000000000e+00;8.2397646201337860e-07;4.8400823195681475e-15;1.0931415787300162e-07;3.4011389272641035e-15;4.6866107187266072e-06
365000000;3.9127039909362793e+00;2.0490241050720215e+00;3.9249920845031738e+00;2.0469760894775391e+00;4.0826878547668457e+00;2.2394878864288330e+00;0.0000000000000000e+00;1.8703265752331414e-07;5.5168168408304664e-16;1.1740219114320648e-07;7.0339414720588447e-15;5.2923315465228675e-06
367000000;3.9352319240570068e+00;2.0572159290313721e+00;3.9495680332183838e+00;2.0592639446258545e+00;4.1041917800903320e+00;2.2630400657653809e+00;0.0000000000000000e+00;1.0038132035750441e-05;2.8296469930346239e-15;2.1602831962873763e-07;3.1343782076691217e-14;7.9580137269755320e-06
369000000;3.9577600955963135e+00;2.0705280303955078e+00;3.9690239429473877e+00;2.0736000537872314e+00;4.1236481666564941e+00;2.2681601047515869e+00;0.0000000000000000e+00;3.2335819848677168e-06;2.2473864410152781e-15;1.8043581593022583e-07;1.7042680511032525e-14;7.2232402195696077e-06
371000000;3.9782400131225586e+00;2.0817921161651611e+00;3.9854080677032471e+00;2.0828158855438232e+00;4.1472001075744629e+00;2.2804479598999023e+00;0.0000000000000000e+00;3.8510016730646757e-06;9.8798639023090153e-16;1.8934562737321122e-07;9.0894747901242934e-15;5.7605178287853427e-06
373000000;3.9966719150543213e+00;2.0930559635162354e+00;4.0161280632019043e+00;2.0940799713134766e+00;4.1697278022766113e+00;2.2927360534667969e+00;0.0000000000000000e+00;1.5846903412459918e-06;5.9292517215324202e-15;3.0447664601703250e-07;2.3108878504434047e-14;8.3731460450215718e-06
375000000;4.0191998481750488e+00;2.1073920726776123e+00;4.0325121879577637e+00;2.1043200492858887e+00;4.1932802200317383e+00;2.3039999008178711e+00;0.0000000000000000e+00;4.5152610861433225e-06;1.2413496104894432e-14;4.6023452022938719e-07;3.8980698049014290e-14;1.1055136996134236e-05
377000000;4.0407037734985352e+00;2.1166079044342041e+00;4.0540161132812500e+00;2.1155838966369629e+00;4.2209281921386719e+00;2.3224320411682129e+00;0.0000000000000000e+00;3.8093117377398494e-05;4.4535900796538975e-14;1.3535932509623856e-06;1.0509190979327182e-13;3.7835095474405189e-05
379000000;4.0622081756591797e+00;2.1288959980010986e+00;4.0785918235778809e+00;2.1288959980010986e+00;4.2403841018676758e+00;2.3285760879516602e+00;0.0000000000000000e+00;4.1273579938466078e-06;4.1011853024445766e-15;3.3570286365807576e-07;9.1866550774758512e-15;1.1965791247078328e-05
381000000;4.0826878547668457e+00;2.1411840915679932e+00;4.0970239639282227e+00;2.1401600837707520e+00;4.2659840583801270e+00;2.3449599742889404e+00;0.0000000000000000e+00;1.6294666791646714e-06;7.9725273518136566e-15;2.2005471790266364e-07;3.7055408818288830e-15;8.4416446710715046e-06
383000000;4.1052160263061523e+00;2.1483519077301025e+00;4.1205759048461914e+00;2.1503999233245850e+00;4.2844161987304688e+00;2.3592960834503174e+00;0.0000000000000000e+00;2.1059103739892242e-06;2.5703257858953016e-15;3.1288416367246633e-07;2.4739385689242276e-14;9.1922922818986057e-06
385000000;4.1297922134399414e+00;2.1616640090942383e+00;4.1420798301696777e+00;2.1637120246887207e+00;4.3038721084594727e+00;2.3674879074096680e+00;0.0000000000000000e+00;3.3955852188583723e-06;1.6829165086933122e-15;2.5888208610478623e-07;1.9418267407999757e-14;8.4195314383066932e-06
387000000;4.1523199081420898e+00;2.1739521026611328e+00;4.1625599861145020e+00;2.1739521026611328e+00;4.3284478187561035e+00;2.3838720321655273e+00;0.0000000000000000e+00;4.2903035331530235e-06;9.6850153189691542e-16;4.6347378429755629e-07;3.2929052084495124e-14;1.6509370599671035e-05
389000000;4.1697278022766113e+00;2.1841919422149658e+00;4.1830401420593262e+00;2.1852159500122070e+00;4.3499522209167480e+00;2.4023039340972900e+00;0.0000000000000000e+00;1.5985369233607329e-05;5.6029900479731007e-15;4.8167317076741117e-07;5.9583016119909063e-14;1.7159255039258937e-05
391000000;4.1943039894104004e+00;2.1954560279846191e+00;4.2096638679504395e+00;2.1923840045928955e+00;4.3735041618347168e+00;2.4033279418945312e+00;0.0000000000000000e+00;6.0084070234039500e-05;6.8083286736143780e-14;6.3834614994169140e-06;9.0833067913830838e-13;1.8151531321912060e-04
393000000;4.2137598991394043e+00;2.2067201137542725e+00;4.2291197776794434e+00;2.2087678909301758e+00;4.3939838409423828e+00;2.4156160354614258e+00;0.0000000000000000e+00;6.7330369921478770e-07;1.4478795994406275e-15;1.7579334831835250e-07;1.0678112045874627e-14;6.1145747863399784e-06
395000000;4.2393598556518555e+00;2.2179839611053467e+00;4.2516479492187500e+00;2.2190079689025879e+00;4.4195837974548340e+00;2.4268798828125000e+00;0.0000000000000000e+00;3.5604507837310321e-06;2.0976609141805507e-15;1.9752699010735447e-07;1.7410585587698573e-14;6.6877246816410494e-06
397000000;4.2608637809753418e+00;2.2261760234832764e+00;4.2711038589477539e+00;2.2292480468750000e+00;4.4410881996154785e+00;2.4391679763793945e+00;0.0000000000000000e+00;1.1724096718859011e-05;7.7478881857168546e-15;4.2148636511374757e-07;6.2517442601991168e-14;1.6600887652498814e-05
399000000;4.2782721519470215e+00;2.2384641170501709e+00;4.2946557998657227e+00;2.2394878864288330e+00;4.4625921249389648e+00;2.4514560699462891e+00;0.0000000000000000e+00;2.5814959866001574e-06;5.0975279257507591e-15;2.8116235517696845e-07;1.8690935727752782e-14;9.4600476657502658e-06
401000000;4.3038721084594727e+00;2.2497279644012451e+00;4.3120641708374023e+00;2.2538239955902100e+00;4.4820480346679688e+00;2.4647679328918457e+00;0.0000000000000000e+00;7.2071727449895645e-06;6.9524058337093932e-15;3.0053256428236096e-07;2.0857217501128180e-14;1.3135331594078825e-05
403000000;4.3202562332153320e+00;2.2620160579681396e+00;4.3345918655395508e+00;2.2630400657653809e+00;4.5004801750183105e+00;2.4842240810394287e+00;0.0000000000000000e+00;1.0964447299836029e-05;1.1548615352398811e-14;4.1609842165485421e-07;2.2922251684306733e-14;2.3793776835534184e-05
405000000;4.3427839279174805e+00;2.2732799053192139e+00;4.3560957908630371e+00;2.2753279209136963e+00;4.5311999320983887e+00;2.4862720966339111e+00;0.0000000000000000e+00;2.8040232277527080e-06;6.6633003891159527e-15;2.3188981224794153e-07;5.9229336792141805e-15;1.1405935061895987e-05
407000000;4.3663358688354492e+00;2.2845439910888672e+00;4.3806719779968262e+00;2.2855679988861084e+00;4.5557761192321777e+00;2.5047039985656738e+00;0.0000000000000000e+00;8.6134297188416822e-06;1.2330451058035587e-14;4.5787745778214473e-07;4.3546782850530744e-14;1.7244387085988388e-05
409000000;4.3847680091857910e+00;2.2978560924530029e+00;4.4052481651306152e+00;2.2978560924530029e+00;4.5793280601501465e+00;2.5128960609436035e+00;0.0000000000000000e+00;5.8091414018893631e-06;5.1053280663006368e-15;1.6034124683012361e-07;2.3750874047572528e-14;7.6570299570925585e-06
411000000;4.4093441963195801e+00;2.3060479164123535e+00;4.4216318130493164e+00;2.3111679553985596e+00;4.5916161537170410e+00;2.5241599082946777e+00;0.0000000000000000e+00;3.1287967823453768e-06;4.2105043462754604e-15;9.4611754757087215e-08;2.0928683368251554e-14;4.3840325072202211e-06
413000000;4.4308481216430664e+00;2.3162879943847656e+00;4.4431362152099609e+00;2.3203840255737305e+00;4.6182398796081543e+00;2.5405440330505371e+00;0.0000000000000000e+00;1.1769561334203208e-06;2.4046812195761277e-15;1.0290545122428632e-07;1.0378097895012762e-14;3.4871727429143033e-06
415000000;4.4544000625610352e+00;2.3336958885192871e+00;4.4738559722900391e+00;2.3336958885192871e+00;4.6428160667419434e+00;2.5579519271850586e+00;0.0000000000000000e+00;3.2933400999132173e-06;2.0086106267683635e-15;1.5366612727740610e-07;1.3147269557029288e-14;6.1363013683072772e-06
417000000;4.4728322029113770e+00;2.3449599742889404e+00;4.4902400970458984e+00;2.3439359664916992e+00;4.6612482070922852e+00;2.5661439895629883e+00;0.0000000000000000e+00;5.8370975341967735e-06;1.0570023071059502e-14;1.2069994226142038e-07;8.8306521859484447e-15;4.9032799008009531e-06
419000000;4.4933118820190430e+00;2.3521280288696289e+00;4.5127677917480469e+00;2.3552000522613525e+00;4.6807041168212891e+00;2.5804800987243652e+00;0.0000000000000000e+00;2.6574854063797691e-06;3.9818521253590371e-16;8.3720574013857316e-08;4.7782225504308444e-15;3.7263556973750913e-06
421000000;4.5127677917480469e+00;2.3644158840179443e+00;4.5301761627197266e+00;2.3674879074096680e+00;4.7063040733337402e+00;2.5927679538726807e+00;0.0000000000000000e+00;2.1455111653152159e-06;6.3102540147969429e-15;8.0438905297294796e-08;9.8597718981202235e-16;2.3572481545574468e-06
423000000;4.5383682250976562e+00;2.3787519931793213e+00;4.5537281036376953e+00;2.3787519931793213e+00;4.7288317680358887e+00;2.6071040630340576e+00;0.0000000000000000e+00;4.0228366832540091e-06;5.6230826405561400e-15;1.0037611107024946e-07;1.0223786619192982e-14;4.6403327184672062e-06
425000000;4.5578241348266602e+00;2.3879680633544922e+00;4.5762557983398438e+00;2.3910400867462158e+00;4.7554559707641602e+00;2.6163198947906494e+00;0.0000000000000000e+00;1.0774246368652802e-06;2.1329910072809087e-15;8.0020474333492088e-08;1.1091553237860726e-14;4.1902231690215407e-06
427000000;4.5783038139343262e+00;2.4002559185028076e+00;4.5946879386901855e+00;2.4023039340972900e+00;4.7687678337097168e+00;2.6296319961547852e+00;0.0000000000000000e+00;9.5351176836122893e-07;1.7598723593550939e-15;7.9189077966545865e-08;6.3795373026622155e-15;4.1422937085368721e-06
429000000;4.5987839698791504e+00;2.4145920276641846e+00;4.6161918640136719e+00;2.4156160354614258e+00;4.8005118370056152e+00;2.6388480663299561e+00;0.0000000000000000e+00;2.7364575750958785e-06;7.6937536051830670e-16;6.3844042078437626e-08;4.6162521631098408e-15;3.3561073841130552e-06
431000000;4.6202878952026367e+00;2.4238080978393555e+00;4.6356477737426758e+00;2.4258561134338379e+00;4.8261117935180664e+00;2.6531839370727539e+00;0.0000000000000000e+00;3.2280199901568891e-07;1.5848898432435027e-16;5.7097011842152143e-08;9.0338721064879650e-15;3.0456220168130533e-06
