Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
373000000;3.9976959228515625e+00;2.0920319557189941e+00;4.0161280632019043e+00;2.0981760025024414e+00;2.0940799713134766e+00;4.1687040328979492e+00;2.2947840690612793e+00;0.0000000000000000e+00;3.9660366051406041e-07;1.5980722434772371e-16;3.2375590884694719e-08;3.9660366051406041e-07;7.9903612173861854e-16;5.3420259395056310e-08
375000000;4.0202240943908691e+00;2.1063680648803711e+00;4.0345602035522461e+00;2.1104640960693359e+00;2.1043200492858887e+00;4.1953282356262207e+00;2.3080959320068359e+00;0.0000000000000000e+00;4.0024110264366988e-07;1.5895489812732988e-16;2.6450202978763518e-08;4.0024110264366988e-07;7.9477449063664938e-16;2.6450202978763518e-08
377000000;4.0427517890930176e+00;2.1166079044342041e+00;4.0540161132812500e+00;2.1196799278259277e+00;2.1176319122314453e+00;4.2219519615173340e+00;2.3214080333709717e+00;0.0000000000000000e+00;3.8067463052970316e-07;1.5811226936559893e-16;4.1131117518908153e-08;2.9578875227700445e-07;6.3244907746239571e-16;4.3754760733790605e-08
379000000;4.0622081756591797e+00;2.1268479824066162e+00;4.0806398391723633e+00;2.1329920291900635e+00;2.1288959980010986e+00;4.2465281486511230e+00;2.3336958885192871e+00;0.0000000000000000e+00;4.4159295559660697e-07;4.7183460496591961e-16;1.9402497794585349e-08;2.7271677247579832e-07;1.7300602182083718e-15;6.5035593765818985e-08
381000000;4.0816640853881836e+00;2.1360640525817871e+00;4.0990719795227051e+00;2.1442561149597168e+00;2.1411840915679932e+00;4.2659840583801270e+00;2.3459839820861816e+00;0.0000000000000000e+00;1.8162896085891291e-07;1.5645222752346048e-16;1.3639660709009442e-08;7.0354989365942291e-08;2.9725923229457490e-15;1.3639660709009442e-08
383000000;4.1072640419006348e+00;2.1503999233245850e+00;4.1195521354675293e+00;2.1555199623107910e+00;2.1524479389190674e+00;4.2844161987304688e+00;2.3552000522613525e+00;0.0000000000000000e+00;9.4717763012164396e-07;3.1126843444199403e-16;2.8067304605373438e-08;1.3649550508108577e-06;3.4239527788619343e-15;5.5488179532469337e-08
385000000;4.1287679672241211e+00;2.1616640090942383e+00;4.1410560607910156e+00;2.1637120246887207e+00;2.1637120246887207e+00;4.3059201240539551e+00;2.3715839385986328e+00;0.0000000000000000e+00;4.7641663907900706e-07;1.5482516392207352e-16;2.2310122653351547e-08;3.1017438516822085e-07;3.5609787702076905e-15;6.0811004302041562e-08
387000000;4.1533441543579102e+00;2.1739521026611328e+00;4.1594882011413574e+00;2.1790719032287598e+00;2.1719040870666504e+00;4.3253760337829590e+00;2.3797760009765625e+00;0.0000000000000000e+00;6.4550665158329832e-07;0.0000000000000000e+00;1.6024394869920302e-08;6.4550665158329832e-07;3.3885433855398580e-15;6.6666985936732025e-08
389000000;4.1717758178710938e+00;2.1841919422149658e+00;4.1850881576538086e+00;2.1882879734039307e+00;2.1862399578094482e+00;4.3448319435119629e+00;2.3900160789489746e+00;0.0000000000000000e+00;4.4855694711255975e-07;1.5323246078160107e-16;3.7226692273447733e-08;3.6629089614473734e-07;1.6855570685976117e-15;4.5039358694374666e-08
391000000;4.1922559738159180e+00;2.1944320201873779e+00;4.2024960517883301e+00;2.1995520591735840e+00;2.1944320201873779e+00;4.3796482086181641e+00;2.4063999652862549e+00;0.0000000000000000e+00;1.4798283104634369e-07;1.5244899290199376e-16;1.5708028659206127e-08;6.6137401193568777e-08;1.5244899290199376e-16;9.7553458511981039e-08
