Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
135000000;2.4381439685821533e+00;1.2421120405197144e+00;2.4371199607849121e+00;1.2728320360183716e+00;1.2441600561141968e+00;2.4371199607849121e+00;1.2513279914855957e+00;0.0000000000000000e+00;1.0276570926093497e-06;2.2076496438110719e-16;1.6610355920034506e-12;7.9061251707948471e-07;4.4152992876221439e-16;3.9043497275043043e-08
137000000;2.4729599952697754e+00;1.2615679502487183e+00;2.4729599952697754e+00;1.2902400493621826e+00;1.2636159658432007e+00;2.4780800342559814e+00;1.2666879892349243e+00;0.0000000000000000e+00;3.1798077875497641e-07;4.3508022068490020e-16;1.9963655926126646e-12;4.3477173619110823e-07;2.1754011034245012e-15;8.4398863882712761e-08
139000000;2.5098240375518799e+00;1.2789759635925293e+00;2.5088000297546387e+00;1.3086719512939453e+00;1.2820479869842529e+00;2.5098240375518799e+00;1.2861440181732178e+00;0.0000000000000000e+00;8.1769361281299020e-07;4.2881419989663190e-16;3.0334316500687740e-12;1.0479114833900453e-06;8.5762839979326380e-16;1.1931065793297449e-08
141000000;2.5436160564422607e+00;1.2963839769363403e+00;2.5425920486450195e+00;1.3281279802322388e+00;1.2994560003280640e+00;2.5446400642395020e+00;1.3015040159225464e+00;0.0000000000000000e+00;3.4182011548818333e-07;2.1136681907571414e-16;2.4767963859292180e-12;3.4182011548818333e-07;6.3410045722714239e-16;1.1208667220668724e-07
143000000;2.5815041065216064e+00;1.3158400058746338e+00;2.5794560909271240e+00;1.3434879779815674e+00;1.3199360370635986e+00;2.5784320831298828e+00;1.3240319490432739e+00;0.0000000000000000e+00;1.0831144469431952e-07;4.1682381416926655e-16;2.1424744048300300e-12;1.0831144469431952e-07;8.3364762833853309e-16;3.5788459338668090e-09
145000000;2.6152958869934082e+00;1.3322240114212036e+00;2.6142721176147461e+00;1.3629440069198608e+00;1.3373440504074097e+00;2.6183679103851318e+00;1.3445119857788086e+00;0.0000000000000000e+00;2.7620621107605454e-07;2.0553712470944799e-16;1.8790203940937737e-12;1.6585930748343548e-07;6.1661137412834402e-16;5.4834499701802693e-08
147000000;2.6501119136810303e+00;1.3527040481567383e+00;2.6511359214782715e+00;1.3803520202636719e+00;1.3537280559539795e+00;2.6501119136810303e+00;1.3619199991226196e+00;0.0000000000000000e+00;4.2942927281925980e-07;2.0274052925235904e-16;1.6876121654966366e-12;5.3827476565833649e-07;2.0274052925235904e-16;5.9526985370468987e-09
149000000;2.6869759559631348e+00;1.3690880537033081e+00;2.6859519481658936e+00;1.3998080492019653e+00;1.3670400381088257e+00;2.6890239715576172e+00;1.3783040046691895e+00;0.0000000000000000e+00;1.4434522595836760e-06;4.0004004617378507e-16;2.2396241985039357e-12;1.5508371917965970e-06;0.0000000000000000e+00;5.9936791397218707e-08
151000000;2.7238399982452393e+00;1.3885439634323120e+00;2.7248640060424805e+00;1.4182399511337280e+00;1.3936640024185181e+00;2.7228159904479980e+00;1.4008320569992065e+00;0.0000000000000000e+00;8.9735535427642435e-07;1.9737042083193297e-16;1.3436978250237996e-12;1.3212051056118790e-06;3.9474084166386594e-16;5.6306586228348465e-08
153000000;2.7586560249328613e+00;1.4049279689788818e+00;2.7596800327301025e+00;1.4346239566802979e+00;1.4141440391540527e+00;2.7607040405273438e+00;1.4141440391540527e+00;0.0000000000000000e+00;8.4254134744896925e-08;3.8957814581206845e-16;1.5429242464886971e-12;2.9340730918229108e-07;2.3374688748724107e-15;2.0322452473800161e-08
155000000;2.7955200672149658e+00;1.4243839979171753e+00;2.7934720516204834e+00;1.4551039934158325e+00;1.4295040369033813e+00;2.7944960594177246e+00;1.4264320135116577e+00;0.0000000000000000e+00;1.3893486822231277e-06;0.0000000000000000e+00;1.1090608811054777e-12;1.3893486822231277e-06;2.8841735812382393e-15;4.7376968087538629e-08
157000000;2.8272640705108643e+00;1.4448640346527100e+00;2.8313601016998291e+00;1.4714879989624023e+00;1.4489599466323853e+00;2.8303360939025879e+00;1.4499839544296265e+00;0.0000000000000000e+00;2.7960161177126268e-07;1.8983141409726615e-16;1.3620403961478847e-12;2.7960161177126268e-07;2.0881455550699276e-15;2.6143281466684149e-08
159000000;2.8682239055633545e+00;1.4632960557937622e+00;2.8651518821716309e+00;1.4888960123062134e+00;1.4643199443817139e+00;2.8682239055633545e+00;1.4704639911651611e+00;0.0000000000000000e+00;8.1959367396912288e-07;1.8744233025685158e-16;8.2905742672605445e-13;6.1832900438432070e-07;1.3120963117979610e-15;1.4534995629914164e-08
161000000;2.9040639400482178e+00;1.4796799421310425e+00;2.9009919166564941e+00;1.5063040256500244e+00;1.4858239889144897e+00;2.9020159244537354e+00;1.4888960123062134e+00;0.0000000000000000e+00;3.6414044760710622e-07;1.8511146184540159e-16;1.1441739456664272e-12;5.6290236629229418e-07;2.5915604658356224e-15;3.3383389763269598e-08
163000000;2.9358079433441162e+00;1.5001599788665771e+00;2.9368319511413574e+00;1.5267839431762695e+00;1.5042560100555420e+00;2.9337599277496338e+00;1.5083520412445068e+00;0.0000000000000000e+00;1.6234956370753927e-06;5.4851780631157975e-16;8.5184815320188336e-13;1.6234956370753927e-06;1.2798748813936860e-15;4.5242807486784546e-08
165000000;2.9757440090179443e+00;1.5185920000076294e+00;2.9726719856262207e+00;1.5441919565200806e+00;1.5226880311965942e+00;2.9747200012207031e+00;1.5278079509735107e+00;0.0000000000000000e+00;8.2149232507296299e-07;1.8062285875780740e-16;9.0094681948394336e-13;6.2755000725426050e-07;9.0311429378903699e-16;5.1248105111198241e-08
167000000;3.0085120201110840e+00;1.5349760055541992e+00;3.0105600357055664e+00;1.5626239776611328e+00;1.5431679487228394e+00;3.0033919811248779e+00;1.5431679487228394e+00;0.0000000000000000e+00;3.0708130420346895e-07;1.7846082964263037e-16;5.6072392673714462e-13;5.9451258930301578e-07;2.1415299557115647e-15;1.9650019103922128e-08
169000000;3.0464000701904297e+00;1.5513600111007690e+00;3.0474240779876709e+00;1.5790079832077026e+00;1.5585279464721680e+00;3.0443520545959473e+00;1.5667200088500977e+00;0.0000000000000000e+00;3.0966200090331531e-07;0.0000000000000000e+00;9.3130346452913428e-13;3.0966200090331531e-07;3.5269966465788079e-16;1.2030781027634468e-07
171000000;3.0822401046752930e+00;1.5738879442214966e+00;3.0822401046752930e+00;1.5984640121459961e+00;1.5810559988021851e+00;3.0863358974456787e+00;1.5810559988021851e+00;0.0000000000000000e+00;1.2387001202397659e-07;6.9714898299681314e-16;1.0201032493700867e-12;1.5683924570205207e-07;1.7428724574920327e-15;3.0300259448633700e-08
173000000;3.1160318851470947e+00;1.5943679809570312e+00;3.1191039085388184e+00;1.6179200410842896e+00;1.5964159965515137e+00;3.1139841079711914e+00;1.6015360355377197e+00;0.0000000000000000e+00;6.4319197441829731e-07;0.0000000000000000e+00;1.0591335261785684e-12;8.2816854635364663e-07;1.2059100005286237e-15;4.2260273554253814e-09
175000000;3.1518719196319580e+00;1.6097279787063599e+00;3.1528959274291992e+00;1.6373759508132935e+00;1.6148480176925659e+00;3.1559679508209229e+00;1.6168960332870483e+00;0.0000000000000000e+00;3.1231400487161171e-07;1.7030392744176822e-16;1.6344067916586496e-12;3.1231400487161171e-07;6.8121570976707288e-16;3.8020330343079901e-08
177000000;3.1866879463195801e+00;1.6271359920501709e+00;3.1887359619140625e+00;1.6547839641571045e+00;1.6332800388336182e+00;3.1907839775085449e+00;1.6302080154418945e+00;0.0000000000000000e+00;9.5392249736014831e-07;1.6837734432155425e-16;1.7817690576106871e-12;8.6352559895409756e-07;0.0000000000000000e+00;4.0443385106410996e-08
179000000;3.2256000041961670e+00;1.6465920209884644e+00;3.2245759963989258e+00;1.6721919775009155e+00;1.6527359485626221e+00;3.2245759963989258e+00;1.6578559875488281e+00;0.0000000000000000e+00;4.8690323923254934e-07;0.0000000000000000e+00;1.6463129137705112e-12;3.9751635457909550e-07;6.6598418841849162e-16;3.9968815965280086e-08
181000000;3.2593920230865479e+00;1.6650240421295166e+00;3.2593920230865479e+00;1.6926720142364502e+00;1.6711679697036743e+00;3.2665600776672363e+00;1.6752640008926392e+00;0.0000000000000000e+00;2.3875273001726533e-07;3.2931471608060584e-16;9.3443050687871904e-13;2.3875273001726533e-07;8.2328679020151462e-16;6.1953238060049423e-08
183000000;3.2952320575714111e+00;1.6855039596557617e+00;3.2952320575714111e+00;1.7100800275802612e+00;1.6885759830474854e+00;3.2972800731658936e+00;1.6895999908447266e+00;0.0000000000000000e+00;2.1176108471801204e-07;0.0000000000000000e+00;1.6987934839363870e-12;1.2432624558268605e-07;3.2572015797840802e-16;3.6891406447360054e-08
185000000;3.3310720920562744e+00;1.6998399496078491e+00;3.3290240764617920e+00;1.7285120487213135e+00;1.7080320119857788e+00;3.3361918926239014e+00;1.7090560197830200e+00;0.0000000000000000e+00;5.3771757315372469e-07;1.6110118323047248e-16;1.0896884033709157e-12;3.6473649482327892e-07;1.2888094658437799e-15;1.8774338162387448e-08
187000000;3.3669118881225586e+00;1.7192959785461426e+00;3.3669118881225586e+00;1.7479679584503174e+00;1.7264640331268311e+00;3.3740799427032471e+00;1.7336319684982300e+00;0.0000000000000000e+00;6.1552113630573219e-07;0.0000000000000000e+00;1.5843830787428522e-12;9.5778416354325073e-07;2.0719223441964670e-15;1.6560838640074733e-08
189000000;3.4027519226074219e+00;1.7356799840927124e+00;3.4007039070129395e+00;1.7653759717941284e+00;1.7408000230789185e+00;3.4099199771881104e+00;1.7500159740447998e+00;0.0000000000000000e+00;2.8166488133342422e-07;0.0000000000000000e+00;2.0572518249877609e-12;4.5098554107508350e-07;1.1038450693633548e-15;5.6976438149894379e-08
191000000;3.4385919570922852e+00;1.7551360130310059e+00;3.4385919570922852e+00;1.7827839851379395e+00;1.7612799406051636e+00;3.4406399726867676e+00;1.7663999795913696e+00;0.0000000000000000e+00;7.4121158448081770e-07;3.1208314771615820e-16;2.0318173332060483e-12;6.5743740241371544e-07;1.2483325908646328e-15;1.2756054123102889e-08
193000000;3.4775040149688721e+00;1.7756160497665405e+00;3.4744319915771484e+00;1.8042880296707153e+00;1.7838079929351807e+00;3.4785280227661133e+00;1.7889280319213867e+00;0.0000000000000000e+00;7.6193936060834553e-07;3.0885251184758050e-16;2.0398164144973452e-12;5.9612543089924419e-07;1.8531150710854830e-15;1.5776676917389481e-08
